"visitor_id","lead_id","amount","created_at","closing_reason","learning_format","status_id"
ae38c0e19418ad892d6fbbd28a25d19d178937dd,"2385138",0,2023-06-23 10:46:08.000,Не реализовано,group,143
a7c62730ab31f476e3d50997844a67c1ef15f30d,"2441927",0,2023-06-15 01:58:41.000,Не реализовано,group,143
"5f5d05db620866b11f4bf422a179193e6f72fa25","2498716",0,2023-06-16 16:43:34.000,Не реализовано,group,143
cb6e250f0c10f26c2323cd73082ece332425b616,"2555505",0,2023-06-07 13:30:13.000,Не реализовано,group,143
acd4587c2fcfff951bbf19d65d8e9a6554d6a35a,"2612294",0,2023-06-13 16:24:13.000,Не реализовано,group,143
bd173358dbc0ba6b516f6bf09b9f3abf5f4d36f7,"2669083",0,2023-06-28 15:45:24.000,Не реализовано,group,143
"3812d4fc5d4ef4644244a7133a1c7809f9b64ac3","2725872",0,2023-06-19 16:50:41.000,Не реализовано,group,143
dc27b31bc9beae355fd802194746e31406fc0c74,"2782661",0,2023-06-24 11:56:28.000,Не реализовано,group,143
"7ef06b923a2e6f574b49363da0874a2b070c4186","2839450",0,2023-06-21 20:38:24.000,Не реализовано,group,143
f0480e36b2bbeb048aa258d4e3635817a6f8c7d6,"2896239",160920,2023-06-20 14:00:55.000,Успешная продажа,group,142
fa0fe24eaab78db44a7c16b270b7dff1031a114b,"2953028",0,2023-06-24 15:45:57.000,Не реализовано,group,143
b568ad8b82ccad9552dc28cb14a90d6cfe00a0ea,"3009817",0,2023-06-11 09:44:59.000,Не реализовано,group,143
ef65dacc18267a475625031f7253e67a85781987,"3066606",0,2023-06-20 14:18:10.000,Не реализовано,bootcamp,143
"9de1f48e9ab2dd70d1b5b918f0b107f112cfeed7","3123395",0,2023-06-22 14:14:08.000,Не реализовано,group,143
a6fe5f477519484c0c175c1c9fc2fa0d5647057c,"3180184",0,2023-06-12 18:52:29.000,Не реализовано,group,143
"2df75ce4979978ad7a34c1bc3ab105fe161af077","3236973",0,2023-06-03 20:49:37.000,Не реализовано,group,143
c4e2155957a8f5a587afd7b26eed7c166e1b9531,"3293762",0,2023-06-28 16:29:48.000,Не реализовано,group,143
